column1,name,serving_size,calories,total_fat,cholesterol,sodium,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,valine,saturated_fatty_acids,fatty_acids_total_trans
981,Noodles enriched dry egg,100 g,384,4.4g,84mg,21.00 mg,14.16 g,0.378 g,0.593 g,1.139 g,0.429 g,0.268 g,0.748 g,0.430 g,0.686 g,1.180 g,84.00 mg
982,Persimmons dried japanese,100 g,274,0.6g,0,2.00 mg,1.38 g,0.027 g,0.060 g,0.101 g,0.078 g,0.012 g,0.063 g,0.071 g,0.072 g,0,0.00 mg
983,Carrots unprepared frozen,100 g,36,0.5g,0,68.00 mg,0.78 g,0.017 g,0.043 g,0.045 g,0.042 g,0.007 g,0.034 g,0.040 g,0.046 g,0.047 g,0.00 mg
984,Carambola raw (starfruit),100 g,31,0.3g,0,2.00 mg,1.04 g,0.008 g,0.044 g,0.077 g,0.077 g,0.021 g,0.037 g,0.044 g,0.050 g,0.019 g,0.00 mg
985,Fast foods chicken tenders,100 g,271,14g,48mg,769.00 mg,19.22 g,0.655 g,0.845 g,1.553 g,1.616 g,0.518 g,1.437 g,0.803 g,0.908 g,2.493 g,48.00 mg
986,Beans home prepared baked,100 g,155,5.2g,5mg,422.00 mg,5.54 g,0.153 g,0.242 g,0.428 g,0.379 g,0.086 g,0.287 g,0.228 g,0.282 g,1.948 g,5.00 mg
987,Cream half and half fluid,100 g,123,10g,35mg,61.00 mg,3.13 g,0.073 g,0.160 g,0.258 g,0.136 g,0.073 g,0.143 g,0.139 g,0.187 g,7.032 g,35.00 mg
988,SILK Light Vanilla soymilk,100 g,33,0.8g,0,39.00 mg,2.47 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
989,Turnips unprepared frozen,100 g,16,0.2g,0,25.00 mg,1.04 g,0.016 g,0.042 g,0.038 g,0.041 g,0.013 g,0.020 g,0.029 g,0.034 g,0.017 g,0.00 mg
990,PACE Cilantro Chunky Salsa,100 g,25,0g,0,844.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
991,PACE Chipotle Chunky Salsa,100 g,25,0g,0,719.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
992,Jams and preserves apricot,100 g,242,0.2g,0,40.00 mg,0.70 g,0,0,0,0,0,0,0,0,0.010 g,0.00 mg
993,Butter with salt whipped,100 g,718,78g,225mg,583.00 mg,0.49 g,0.023 g,0.051 g,0.083 g,0.067 g,0.021 g,0.041 g,0.038 g,0.057 g,45.390 g,225.00 mg
994,Ham cooked smoked honey,100 g,122,2.4g,22mg,900.00 mg,17.93 g,0,0,0,0,0,0,0,0,0.870 g,22.00 mg
995,Spaghetti cooked spinach,100 g,130,0.6g,0,14.00 mg,4.58 g,0.093 g,0.177 g,0.312 g,0.094 g,0.071 g,0.220 g,0.123 g,0.196 g,0.091 g,0.00 mg
996,Bockwurst raw veal pork,100 g,301,26g,93mg,756.00 mg,14.03 g,0.513 g,0.677 g,1.107 g,1.166 g,0.333 g,0.556 g,0.613 g,0.767 g,10.256 g,93.00 mg
997,Guinea hen raw meat only,100 g,110,2.5g,63mg,69.00 mg,20.64 g,0.641 g,1.090 g,1.549 g,1.754 g,0.571 g,0.819 g,0.872 g,1.024 g,0.640 g,63.00 mg
998,Cookies soft-type raisin,100 g,401,14g,2mg,418.00 mg,4.10 g,0.091 g,0.165 g,0.285 g,0.183 g,0.085 g,0.187 g,0.140 g,0.191 g,3.460 g,2.00 mg
999,Squash raw acorn winter,100 g,40,0.1g,0,3.00 mg,0.80 g,0.015 g,0.031 g,0.045 g,0.029 g,0.010 g,0.031 g,0.024 g,0.034 g,0.021 g,0.00 mg
