column1,name,serving_size,calories,total_fat,cholesterol,sodium,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,valine,saturated_fatty_acids,fatty_acids_total_trans
95,Pears red anjou raw,100 g,62,0.1g,0,1.00 mg,0.33 g,0.001 g,0.010 g,0.017 g,0.015 g,0.002 g,0.010 g,0.010 g,0.015 g,0,0
96,Horseradish prepared,100 g,48,0.7g,0,420.00 mg,1.18 g,0,0,0,0,0,0,0,0,0.090 g,0.00 mg
97,Fish raw butterfish,100 g,146,8g,65mg,89.00 mg,17.28 g,0.509 g,0.796 g,1.405 g,1.587 g,0.512 g,0.675 g,0.758 g,0.890 g,3.380 g,65.00 mg
98,Lebanon bologna beef,100 g,172,10g,55mg,1374.00 mg,19.03 g,0,0,0,0,0,0,0,0,2.794 g,55.00 mg
99,Ham and cheese spread,100 g,245,19g,61mg,1197.00 mg,16.18 g,0.597 g,0.775 g,1.504 g,1.476 g,0.475 g,0.771 g,0.683 g,1.014 g,8.620 g,61.00 mg
100,TACO BELL Taco Salad,100 g,170,9.2g,19mg,363.00 mg,6.69 g,0.180 g,0.268 g,0.519 g,0.441 g,0.120 g,0.340 g,0.266 g,0.311 g,2.979 g,19.00 mg
101,Sauce worcestershire,100 g,78,0g,0,980.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
102,Candies marshmallows,100 g,318,0.2g,0,80.00 mg,1.80 g,0.017 g,0.028 g,0.066 g,0.077 g,0.015 g,0.042 g,0.035 g,0.050 g,0.056 g,0.00 mg
103,Hummus home prepared,100 g,177,8.6g,0,242.00 mg,4.86 g,0.134 g,0.206 g,0.346 g,0.291 g,0.080 g,0.256 g,0.182 g,0.215 g,1.141 g,0.00 mg
104,Horned melon (Kiwano),100 g,44,1.3g,0,2.00 mg,1.78 g,0,0,0,0,0,0,0,0,0,0
105,Ice cream sundae cone,100 g,254,14g,15mg,115.00 mg,3.00 g,0.018 g,0.031 g,0.058 g,0.016 g,0.015 g,0.041 g,0.022 g,0.035 g,2.717 g,15.00 mg
106,Peppers raw serrano,100 g,32,0.4g,0,10.00 mg,1.74 g,0,0,0,0,0,0,0,0,0.059 g,0.00 mg
107,Cabbage cooked napa,100 g,12,0.2g,0,11.00 mg,1.10 g,0,0,0,0,0,0,0,0,0,0.00 mg
108,Peppers dried ancho,100 g,281,8.2g,0,43.00 mg,11.86 g,0.232 g,0.373 g,0.605 g,0.515 g,0.142 g,0.361 g,0.425 g,0.489 g,0.820 g,0.00 mg
109,Parsley freeze-dried,100 g,271,5.2g,0,391.00 mg,31.30 g,0,0,0,3.115 g,0.210 g,0,0,0,0,0.00 mg
110,Spices black pepper,100 g,251,3.3g,0,20.00 mg,10.39 g,0.159 g,0.366 g,1.014 g,0.244 g,0.096 g,0.446 g,0.244 g,0.547 g,1.392 g,0.00 mg
111,Spices white pepper,100 g,296,2.1g,0,5.00 mg,10.40 g,0,0,0,0,0,0,0,0,0.626 g,0.00 mg
112,Yambean (jicama) raw,100 g,38,0.1g,0,4.00 mg,0.72 g,0.019 g,0.016 g,0.025 g,0.026 g,0.007 g,0.017 g,0.018 g,0.022 g,0.021 g,0.00 mg
113,Nuts dried pilinuts,100 g,719,80g,0,3.00 mg,10.80 g,0.255 g,0.483 g,0.890 g,0.369 g,0.395 g,0.497 g,0.407 g,0.701 g,31.184 g,0.00 mg
114,Kiwifruit raw green,100 g,61,0.5g,0,3.00 mg,1.14 g,0.027 g,0.051 g,0.066 g,0.061 g,0.024 g,0.044 g,0.047 g,0.057 g,0.029 g,0.00 mg
115,Drumstick leaves raw,100 g,64,1.4g,0,9.00 mg,9.40 g,0.196 g,0.451 g,0.791 g,0.537 g,0.123 g,0.487 g,0.411 g,0.611 g,0,0.00 mg
116,Yautia (tannier) raw,100 g,98,0.4g,0,21.00 mg,1.46 g,0,0,0,0,0,0,0,0,0.082 g,0.00 mg
117,Candies butterscotch,100 g,391,3.3g,9mg,391.00 mg,0.03 g,0,0,0,0,0,0,0,0,2.065 g,9.00 mg
118,Cucumber raw peeled,100 g,12,0.2g,0,2.00 mg,0.59 g,0.002 g,0.012 g,0.025 g,0.025 g,0.012 g,0.031 g,0.012 g,0.012 g,0.013 g,0.00 mg
119,Dandelion greens raw,100 g,45,0.7g,0,76.00 mg,2.70 g,0,0,0,0,0,0,0,0,0.170 g,0.00 mg
120,Melons raw honeydew,100 g,36,0.1g,0,18.00 mg,0.54 g,0.005 g,0.013 g,0.016 g,0.018 g,0.005 g,0.015 g,0.013 g,0.018 g,0.038 g,0.00 mg
121,Potato salad with egg,100 g,157,9.4g,17mg,329.00 mg,1.96 g,0,0,0,0,0,0,0,0,1.437 g,17.00 mg
122,Mushrooms raw white,100 g,22,0.3g,0,5.00 mg,3.09 g,0.057 g,0.076 g,0.120 g,0.107 g,0.031 g,0.085 g,0.107 g,0.232 g,0.050 g,0.00 mg
123,Mushrooms raw morel,100 g,31,0.6g,0,21.00 mg,3.12 g,0,0,0,0,0,0,0,0,0.065 g,0
124,Cheese Mexican blend,100 g,358,29g,95mg,338.00 mg,23.54 g,0.735 g,1.356 g,2.170 g,1.655 g,0.600 g,1.200 g,0.869 g,1.511 g,17.027 g,95.00 mg
125,Oranges Florida raw,100 g,46,0.2g,0,0.00 mg,0.70 g,0.013 g,0.019 g,0.017 g,0.035 g,0.015 g,0.023 g,0.011 g,0.030 g,0.025 g,0.00 mg
126,SILK Vanilla soymilk,100 g,41,1.4g,0,39.00 mg,2.47 g,0,0,0,0,0,0,0,0,0.206 g,0.00 mg
127,Papaya nectar canned,100 g,57,0.2g,0,5.00 mg,0.17 g,0,0,0,0,0,0,0,0,0.047 g,0.00 mg
128,Fiddlehead ferns raw,100 g,34,0.4g,0,1.00 mg,4.55 g,0,0,0,0,0,0,0,0,0,0.00 mg
129,SILK Peach soy yogurt,100 g,94,1.2g,0,15.00 mg,2.35 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
130,SILK Plain soy yogurt,100 g,66,1.8g,0,13.00 mg,2.64 g,0,0,0,0,0,0,0,0,0.220 g,0.00 mg
131,PACE Enchilada Sauce,100 g,40,0g,0,867.00 mg,1.67 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
132,Yeast extract spread,100 g,185,0.9g,0,3380.00 mg,23.88 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
133,Tomatoes raw green,100 g,23,0.2g,0,13.00 mg,1.20 g,0.018 g,0.029 g,0.044 g,0.044 g,0.010 g,0.031 g,0.030 g,0.031 g,0.028 g,0.00 mg
134,Mollusks raw snail,100 g,90,1.4g,50mg,70.00 mg,16.10 g,0,0,0,0,0,0,0,0,0.361 g,50.00 mg
135,Emu raw fan fillet,100 g,103,0.8g,71mg,120.00 mg,22.50 g,0.493 g,0.731 g,1.242 g,1.324 g,0.427 g,0.642 g,0.645 g,0.749 g,0.201 g,71.00 mg
136,Pasta enriched dry,100 g,371,1.5g,0,6.00 mg,13.04 g,0.298 g,0.511 g,0.988 g,0.298 g,0.147 g,0.668 g,0.462 g,0.588 g,0.277 g,0.00 mg
137,Cookies gingersnaps,100 g,416,9.8g,0,501.00 mg,5.60 g,0.114 g,0.212 g,0.380 g,0.195 g,0.094 g,0.263 g,0.155 g,0.248 g,2.451 g,0.00 mg
138,Sour cream fat free,100 g,74,0g,9mg,141.00 mg,3.10 g,0,0,0,0,0,0,0,0,0.000 g,9.00 mg
139,MURRAY Honey Graham,100 g,445,13g,0,477.00 mg,5.90 g,0,0,0,0,0,0,0,0,3.200 g,0.00 mg
140,Frankfurter chicken,100 g,223,16g,96mg,1027.00 mg,15.51 g,0.362 g,0.457 g,1.024 g,1.095 g,0.343 g,0.513 g,0.577 g,0.536 g,3.856 g,96.00 mg
141,Ham canned chopped,100 g,239,19g,49mg,1280.00 mg,16.06 g,0.637 g,0.691 g,1.249 g,1.380 g,0.419 g,0.622 g,0.717 g,0.719 g,6.291 g,49.00 mg
142,Spices dried thyme,100 g,276,7.4g,0,55.00 mg,9.11 g,0,0.468 g,0.430 g,0.207 g,0,0,0.252 g,0.502 g,2.730 g,0.00 mg
143,Carrot juice canned,100 g,40,0.2g,0,66.00 mg,0.95 g,0,0,0,0,0,0,0,0,0.027 g,0.00 mg
144,Corn dried (Navajo),100 g,386,5.2g,0,13.00 mg,9.88 g,0,0,0,0,0,0,0,0,0.820 g,0
145,Pate truffle flavor,100 g,327,29g,105mg,807.00 mg,11.20 g,0.298 g,0.554 g,1.050 g,0.838 g,0.284 g,0.582 g,0.568 g,0.768 g,10.100 g,105.00 mg
146,Fruit butters apple,100 g,173,0.3g,0,15.00 mg,0.39 g,0,0,0,0,0,0,0,0,0.053 g,0.00 mg
147,Fast foods coleslaw,100 g,153,9.9g,4mg,203.00 mg,0.95 g,0,0,0,0,0,0,0,0,1.599 g,4.00 mg
148,Salami beef cooked,100 g,261,22g,71mg,1140.00 mg,12.60 g,0.479 g,0.650 g,1.104 g,1.152 g,0.349 g,0.541 g,0.568 g,0.662 g,9.865 g,71.00 mg
149,Spices chili powder,100 g,282,14g,0,2867.00 mg,13.46 g,0.180 g,0.390 g,0.630 g,0.360 g,0.130 g,0.370 g,0.270 g,0.540 g,2.462 g,0.00 mg
150,Spices caraway seed,100 g,333,15g,0,17.00 mg,19.77 g,0.550 g,0.826 g,1.218 g,1.031 g,0.361 g,0.867 g,0.756 g,1.037 g,0.620 g,0.00 mg
151,Spices dried basil,100 g,233,4.1g,0,76.00 mg,22.98 g,0.450 g,1.060 g,1.850 g,1.150 g,0.320 g,1.250 g,0.760 g,1.450 g,2.157 g,0.00 mg
152,Pickle relish sweet,100 g,130,0.5g,0,811.00 mg,0.37 g,0.006 g,0.012 g,0.017 g,0.016 g,0.004 g,0.011 g,0.011 g,0.013 g,0.054 g,0.00 mg
153,Chives freeze-dried,100 g,311,3.5g,0,70.00 mg,21.20 g,0.366 g,0.899 g,1.265 g,1.058 g,0.231 g,0.682 g,0.831 g,0.936 g,0.591 g,0.00 mg
154,Fish raw sablefish,100 g,195,15g,49mg,56.00 mg,13.41 g,0.395 g,0.618 g,1.090 g,1.232 g,0.397 g,0.524 g,0.588 g,0.691 g,3.201 g,49.00 mg
155,Crackers multigrain,100 g,482,20g,0,883.00 mg,7.10 g,0.168 g,0.237 g,0.481 g,0.182 g,0.122 g,0.347 g,0.193 g,0.291 g,3.300 g,0.00 mg
156,Spices ground mace,100 g,475,32g,0,80.00 mg,6.71 g,0,0,0,0,0,0,0,0,9.510 g,0.00 mg
157,Spices onion powder,100 g,341,1g,0,73.00 mg,10.41 g,0.160 g,0.140 g,0.220 g,0.490 g,0.090 g,0.280 g,0.140 g,0.170 g,0.219 g,0.00 mg
158,Butter without salt,100 g,717,81g,215mg,11.00 mg,0.85 g,0.023 g,0.051 g,0.083 g,0.067 g,0.021 g,0.041 g,0.038 g,0.057 g,50.489 g,215.00 mg
159,Rice noodles cooked,100 g,108,0.2g,0,19.00 mg,1.79 g,0.045 g,0.073 g,0.147 g,0.062 g,0.043 g,0.095 g,0.063 g,0.104 g,0.023 g,0.00 mg
160,Barley flour or meal,100 g,345,1.6g,0,4.00 mg,10.50 g,0.236 g,0.383 g,0.713 g,0.391 g,0.202 g,0.589 g,0.356 g,0.515 g,0.335 g,0.00 mg
161,Sesbania flower raw,100 g,27,0g,0,15.00 mg,1.28 g,0.026 g,0.068 g,0.106 g,0.064 g,0.016 g,0.070 g,0.057 g,0.078 g,0,0.00 mg
162,Garlic bread frozen,100 g,350,17g,0,544.00 mg,8.36 g,0.129 g,0.235 g,0.407 g,0.241 g,0.104 g,0.268 g,0.193 g,0.264 g,5.281 g,0.00 mg
163,KFC Popcorn Chicken,100 g,351,22g,40mg,1140.00 mg,17.67 g,0.579 g,0.791 g,1.379 g,1.293 g,0.357 g,0.743 g,0.724 g,0.859 g,3.954 g,40.00 mg
164,APPLEBEE'S coleslaw,100 g,120,7.1g,2mg,178.00 mg,0.79 g,0.008 g,0.025 g,0.034 g,0.017 g,0.008 g,0.017 g,0.017 g,0.034 g,1.061 g,2.00 mg
165,Rolls sweet dinner,100 g,321,7.4g,55mg,253.00 mg,10.04 g,0.200 g,0.360 g,0.700 g,0.310 g,0.180 g,0.480 g,0.280 g,0.380 g,3.516 g,55.00 mg
166,Cherries raw sweet,100 g,63,0.2g,0,0.00 mg,1.06 g,0.015 g,0.020 g,0.030 g,0.032 g,0.010 g,0.024 g,0.022 g,0.024 g,0.038 g,0.00 mg
167,Ostrich raw ground,100 g,165,8.7g,71mg,72.00 mg,20.22 g,0.508 g,0.961 g,1.643 g,1.785 g,0.565 g,0.834 g,0.887 g,0.998 g,2.177 g,71.00 mg
168,SILK Coffee soymilk,100 g,62,1.4g,0,41.00 mg,2.06 g,0,0,0,0,0,0,0,0,0.206 g,0.00 mg
169,Snacks banana chips,100 g,519,34g,0,6.00 mg,2.30 g,0.180 g,0.074 g,0.158 g,0.107 g,0.024 g,0.086 g,0.076 g,0.104 g,28.970 g,0.00 mg
170,Peaches raw yellow,100 g,39,0.3g,0,0.00 mg,0.91 g,0.013 g,0.017 g,0.027 g,0.030 g,0.010 g,0.019 g,0.016 g,0.022 g,0.019 g,0.00 mg
171,Rolls wheat dinner,100 g,273,6.3g,0,524.00 mg,8.60 g,0.193 g,0.321 g,0.594 g,0.205 g,0.145 g,0.419 g,0.241 g,0.379 g,1.497 g,0.00 mg
172,Candies HEATH BITES,100 g,530,30g,19mg,245.00 mg,3.94 g,0,0,0,0,0,0,0,0,15.620 g,19.00 mg
173,Chicken raw ground,100 g,143,8.1g,86mg,60.00 mg,17.44 g,0.529 g,0.794 g,1.361 g,1.509 g,0.446 g,0.683 g,0.727 g,0.826 g,2.301 g,86.00 mg
174,Pears bartlett raw,100 g,63,0.2g,0,1.00 mg,0.39 g,0.002 g,0.012 g,0.020 g,0.018 g,0.002 g,0.011 g,0.012 g,0.018 g,0,0
175,Toppings strawberry,100 g,254,0.1g,0,21.00 mg,0.20 g,0,0,0,0,0,0,0,0,0.005 g,0.00 mg
176,KEEBLER Sugar Cones,100 g,375,3.7g,0,326.00 mg,7.30 g,0,0,0,0,0,0,0,0,0.800 g,0.00 mg
177,Seaweed raw wakame,100 g,45,0.6g,0,872.00 mg,3.03 g,0.015 g,0.087 g,0.257 g,0.112 g,0.063 g,0.112 g,0.165 g,0.209 g,0.130 g,0.00 mg
178,Seaweed dried agar,100 g,306,0.3g,0,102.00 mg,6.21 g,0,0,0,0,0,0,0,0,0.061 g,0.00 mg
179,Bread cracked-wheat,100 g,260,3.9g,0,538.00 mg,8.70 g,0.193 g,0.338 g,0.606 g,0.244 g,0.148 g,0.419 g,0.261 g,0.387 g,0.916 g,0.00 mg
180,Amaranth leaves raw,100 g,23,0.3g,0,20.00 mg,2.46 g,0.052 g,0.119 g,0.195 g,0.127 g,0.036 g,0.133 g,0.099 g,0.137 g,0.091 g,0.00 mg
181,Barley raw pearled,100 g,352,1.2g,0,9.00 mg,9.91 g,0.223 g,0.362 g,0.673 g,0.369 g,0.190 g,0.556 g,0.337 g,0.486 g,0.244 g,0.00 mg
182,Polish sausage pork,100 g,326,29g,70mg,876.00 mg,14.10 g,0.444 g,0.611 g,1.076 g,1.110 g,0.379 g,0.539 g,0.591 g,0.679 g,10.330 g,70.00 mg
183,Spices curry powder,100 g,325,14g,0,52.00 mg,14.29 g,0.290 g,0.630 g,0.890 g,0.700 g,0.190 g,0.580 g,0.350 g,0.750 g,1.648 g,0.00 mg
184,Bacon bits meatless,100 g,476,26g,0,1770.00 mg,32.00 g,0,0,0,0,0,0,0,0,4.055 g,0.00 mg
185,Semolina unenriched,100 g,360,1.1g,0,1.00 mg,12.68 g,0.257 g,0.490 g,0.867 g,0.243 g,0.198 g,0.616 g,0.335 g,0.540 g,0.150 g,0.00 mg
186,Grape leaves canned,100 g,69,2g,0,2853.00 mg,4.27 g,0,0,0,0,0,0,0,0,0.312 g,0.00 mg
187,Spices ground sage,100 g,315,13g,0,11.00 mg,10.63 g,0,0,0,0,0,0,0,0,7.030 g,0.00 mg
188,PACE Red Taco Sauce,100 g,50,0g,0,813.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
189,DENNY'S hash browns,100 g,197,9g,0,468.00 mg,2.49 g,0,0,0,0,0,0,0,0,1.689 g,0
190,DENNY'S onion rings,100 g,385,22g,0,780.00 mg,5.29 g,0.118 g,0.177 g,0.364 g,0.138 g,0.079 g,0.246 g,0.138 g,0.216 g,3.729 g,0
191,Ostrich raw oyster,100 g,125,3.7g,73mg,83.00 mg,21.55 g,0.541 g,1.024 g,1.751 g,1.903 g,0.602 g,0.889 g,0.945 g,1.064 g,1.220 g,73.00 mg
192,Oil corn and canola,100 g,884,100g,0,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,8.026 g,0.00 mg
193,Pumpkin flowers raw,100 g,15,0.1g,0,5.00 mg,1.03 g,0,0,0,0,0,0,0,0,0.036 g,0.00 mg
194,Celery flakes dried,100 g,319,2.1g,0,1435.00 mg,11.30 g,0,0,0,0,0,0,0,0,0.555 g,0.00 mg
195,Crackers egg matzo,100 g,391,2.1g,83mg,21.00 mg,12.30 g,0.278 g,0.472 g,0.886 g,0.389 g,0.248 g,0.624 g,0.384 g,0.544 g,0.548 g,83.00 mg
196,Loganberries frozen,100 g,55,0.3g,0,1.00 mg,1.52 g,0,0,0,0,0,0,0,0,0.011 g,0.00 mg
197,Tangerine juice raw,100 g,43,0.2g,0,1.00 mg,0.50 g,0.002 g,0.005 g,0.010 g,0.007 g,0.002 g,0.006 g,0.006 g,0.008 g,0.024 g,0.00 mg
198,Soybeans raw green,100 g,147,6.8g,0,15.00 mg,12.95 g,0.348 g,0.570 g,0.926 g,0.775 g,0.157 g,0.586 g,0.516 g,0.576 g,0.786 g,0.00 mg
199,Soybean curd cheese,100 g,151,8.1g,0,20.00 mg,12.50 g,0,0,0,0,0,0,0,0,1.172 g,0.00 mg
200,Game meat raw bear,100 g,161,8.3g,0,0,20.10 g,0,0,0,0,0,0,0,0,0,0
201,Game meat raw deer,100 g,120,2.4g,85mg,51.00 mg,22.96 g,1.135 g,0.908 g,1.951 g,2.006 g,0.566 g,0.937 g,1.080 g,1.073 g,0.950 g,85.00 mg
202,Oranges navels raw,100 g,49,0.2g,0,1.00 mg,0.91 g,0.013 g,0.017 g,0.029 g,0.038 g,0.009 g,0.021 g,0.018 g,0.026 g,0.017 g,0.00 mg
203,Tostada shells corn,100 g,474,23g,0,657.00 mg,6.15 g,0,0,0,0,0,0,0,0,7.011 g,0
204,Fish raw swordfish,100 g,144,6.7g,66mg,81.00 mg,19.66 g,0.583 g,0.912 g,1.609 g,1.818 g,0.586 g,0.773 g,0.868 g,1.020 g,1.602 g,66.00 mg
205,Taro raw tahitian,100 g,44,1g,0,50.00 mg,2.79 g,0,0,0,0,0,0,0,0,0.197 g,0.00 mg
206,Chicory greens raw,100 g,23,0.3g,0,45.00 mg,1.70 g,0.029 g,0.101 g,0.074 g,0.067 g,0.010 g,0.041 g,0.047 g,0.077 g,0.073 g,0.00 mg
207,Hearts of palm raw,100 g,115,0.2g,0,14.00 mg,2.70 g,0,0,0,0,0,0,0,0,0.046 g,0.00 mg
208,Chayote raw fruit,100 g,19,0.1g,0,2.00 mg,0.82 g,0.015 g,0.044 g,0.077 g,0.039 g,0.001 g,0.047 g,0.040 g,0.063 g,0.028 g,0.00 mg
209,Fish smoked cisco,100 g,177,12g,32mg,481.00 mg,16.36 g,0.482 g,0.754 g,1.330 g,1.503 g,0.484 g,0.639 g,0.717 g,0.843 g,1.741 g,32.00 mg
210,Frankfurter turkey,100 g,223,17g,77mg,911.00 mg,12.23 g,0.542 g,0.539 g,1.163 g,1.238 g,0.402 g,0.592 g,0.683 g,0.585 g,4.028 g,77.00 mg
211,Candies jellybeans,100 g,375,0.1g,0,50.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
212,Oil ucuhuba butter,100 g,884,100g,0,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,85.200 g,0.00 mg
213,Soy protein isolate,100 g,335,3.4g,0,1005.00 mg,88.32 g,2.303 g,4.253 g,6.783 g,5.327 g,1.130 g,4.593 g,3.137 g,4.098 g,0.422 g,0.00 mg
214,Syrups light corn,100 g,283,0.2g,0,62.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
215,Fish raw milkfish,100 g,148,6.7g,52mg,72.00 mg,20.53 g,0.604 g,0.946 g,1.669 g,1.886 g,0.608 g,0.802 g,0.900 g,1.058 g,1.660 g,52.00 mg
216,Fish raw monkfish,100 g,76,1.5g,25mg,18.00 mg,14.48 g,0.426 g,0.667 g,1.177 g,1.330 g,0.429 g,0.565 g,0.635 g,0.746 g,0.340 g,25.00 mg
217,Mother's loaf pork,100 g,282,22g,45mg,1127.00 mg,12.07 g,0.533 g,0.637 g,1.122 g,1.178 g,0.357 g,0.573 g,0.604 g,0.666 g,7.950 g,45.00 mg
218,Tapioca dry pearl,100 g,358,0g,0,1.00 mg,0.19 g,0.003 g,0.004 g,0.006 g,0.006 g,0.002 g,0.004 g,0.004 g,0.005 g,0.005 g,0.00 mg
219,Guavas raw common,100 g,68,1g,0,2.00 mg,2.55 g,0.022 g,0.093 g,0.171 g,0.072 g,0.016 g,0.006 g,0.096 g,0.087 g,0.272 g,0.00 mg
220,Spices celery seed,100 g,392,25g,0,160.00 mg,18.07 g,0,0,0,0,0,0,0,0,2.190 g,0.00 mg
221,Candies peanut bar,100 g,522,34g,0,156.00 mg,15.50 g,0.385 g,0.534 g,0.986 g,0.545 g,0.185 g,0.787 g,0.520 g,0.638 g,4.678 g,0.00 mg
222,Bread toasted rye,100 g,284,3.6g,0,664.00 mg,9.40 g,0.200 g,0.351 g,0.637 g,0.256 g,0.153 g,0.451 g,0.281 g,0.417 g,0.688 g,0.00 mg
223,Oil apricot kernel,100 g,884,100g,0,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,6.300 g,0.00 mg
224,Candies YORK BITES,100 g,394,7.3g,1mg,46.00 mg,1.78 g,0,0,0,0,0,0,0,0,4.430 g,1.00 mg
225,Meatballs meatless,100 g,197,9g,0,550.00 mg,21.00 g,0,0,0,0,0,0,0,0,1.425 g,0.00 mg
226,Emu raw full rump,100 g,112,1.6g,85mg,90.00 mg,22.83 g,0.500 g,0.742 g,1.260 g,1.343 g,0.433 g,0.651 g,0.654 g,0.760 g,0.448 g,85.00 mg
227,Mustard greens raw,100 g,27,0.4g,0,20.00 mg,2.86 g,0,0,0,0,0,0,0,0,0.010 g,0.00 mg
228,Seaweed raw laver,100 g,35,0.3g,0,48.00 mg,5.81 g,0.140 g,0.259 g,0.501 g,0.222 g,0.145 g,0.273 g,0.232 g,0.402 g,0.061 g,0.00 mg
229,Sweet rolls cheese,100 g,360,18g,76mg,357.00 mg,7.10 g,0.183 g,0.319 g,0.555 g,0.388 g,0.142 g,0.343 g,0.262 g,0.354 g,6.059 g,76.00 mg
230,Figs stewed dried,100 g,107,0.4g,0,4.00 mg,1.42 g,0.016 g,0.038 g,0.055 g,0.038 g,0.015 g,0.033 g,0.037 g,0.053 g,0.062 g,0.00 mg
231,Bread sticks plain,100 g,412,9.5g,0,713.00 mg,12.00 g,0.258 g,0.458 g,0.835 g,0.281 g,0.212 g,0.590 g,0.338 g,0.516 g,1.410 g,0.00 mg
232,SILK Mocha soymilk,100 g,58,1.4g,0,41.00 mg,2.06 g,0,0,0,0,0,0,0,0,0.206 g,0.00 mg
233,Milk and cereal bar,100 g,413,11g,6mg,319.00 mg,6.47 g,0,0,0,0,0,0,0,0,9.114 g,6.00 mg
234,Bread pumpernickel,100 g,250,3.1g,0,596.00 mg,8.70 g,0.196 g,0.334 g,0.602 g,0.248 g,0.155 g,0.422 g,0.267 g,0.396 g,0.437 g,0.00 mg
235,Game meat raw elk,100 g,111,1.5g,55mg,58.00 mg,22.95 g,0.733 g,0.740 g,1.935 g,2.131 g,0.551 g,0.910 g,0.999 g,0.810 g,0.530 g,55.00 mg
236,PACE Pico De Gallo,100 g,31,0g,0,469.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
237,Ostrich raw round,100 g,116,2.4g,71mg,72.00 mg,21.99 g,0.552 g,1.045 g,1.787 g,1.942 g,0.615 g,0.908 g,0.965 g,1.086 g,0.810 g,71.00 mg
238,HORMEL Cure 81 Ham,100 g,106,3.6g,51mg,1038.00 mg,18.43 g,0,0,0,0,0,0,0,0,1.170 g,51.00 mg
239,Prune juice canned,100 g,71,0g,0,4.00 mg,0.61 g,0,0,0,0,0,0,0,0,0.003 g,0.00 mg
240,McDONALD'S BIG MAC,100 g,257,15g,36mg,460.00 mg,11.82 g,0,0,0,0,0,0,0,0,3.803 g,36.00 mg
241,Soy flour defatted,100 g,327,1.2g,0,20.00 mg,51.46 g,1.268 g,2.281 g,3.828 g,3.129 g,0.634 g,2.453 g,2.042 g,2.346 g,0.136 g,0.00 mg
242,Bread toasted egg,100 g,315,6.6g,56mg,417.00 mg,10.50 g,0.230 g,0.433 g,0.760 g,0.342 g,0.208 g,0.522 g,0.336 g,0.487 g,1.616 g,56.00 mg
243,Fish raw mahimahi,100 g,85,0.7g,73mg,88.00 mg,18.50 g,0.545 g,0.852 g,1.504 g,1.699 g,0.548 g,0.722 g,0.811 g,0.953 g,0.188 g,73.00 mg
244,Fish raw bluefish,100 g,124,4.2g,59mg,60.00 mg,20.04 g,0.590 g,0.923 g,1.629 g,1.840 g,0.593 g,0.782 g,0.878 g,1.032 g,0.915 g,59.00 mg
245,Spices fennel seed,100 g,345,15g,0,88.00 mg,15.80 g,0.331 g,0.695 g,0.996 g,0.758 g,0.301 g,0.647 g,0.602 g,0.915 g,0.480 g,0.00 mg
246,Potatoes skin raw,100 g,58,0.1g,0,10.00 mg,2.57 g,0,0,0,0,0,0,0,0,0.026 g,0.00 mg
247,Pepper raw banana,100 g,27,0.5g,0,13.00 mg,1.66 g,0,0,0,0,0,0,0,0,0.048 g,0.00 mg
248,Drumstick pods raw,100 g,37,0.2g,0,42.00 mg,2.10 g,0,0,0,0,0,0,0,0,0.033 g,0.00 mg
249,Toppings pineapple,100 g,253,0.1g,0,42.00 mg,0.10 g,0,0,0,0,0,0,0,0,0.018 g,0.00 mg
250,Acorn stew (Apache),100 g,95,3.5g,20mg,130.00 mg,6.81 g,0.230 g,0.350 g,0.620 g,0.580 g,0.160 g,0.330 g,0.360 g,0.390 g,1.280 g,20.00 mg
251,Tomatoes sun-dried,100 g,258,3g,0,107.00 mg,14.11 g,0.214 g,0.339 g,0.517 g,0.519 g,0.122 g,0.366 g,0.357 g,0.361 g,0.426 g,0.00 mg
252,Guava sauce cooked,100 g,36,0.1g,0,4.00 mg,0.32 g,0.003 g,0.012 g,0.021 g,0.009 g,0.002 g,0.001 g,0.012 g,0.011 g,0.040 g,0.00 mg
253,Pumpkin leaves raw,100 g,19,0.4g,0,11.00 mg,3.15 g,0.050 g,0.156 g,0.318 g,0.200 g,0.054 g,0.171 g,0.156 g,0.181 g,0.207 g,0.00 mg
254,Melons raw casaba,100 g,28,0.1g,0,9.00 mg,1.11 g,0,0,0,0,0,0,0,0,0.025 g,0.00 mg
255,Melon balls frozen,100 g,33,0.3g,0,31.00 mg,0.84 g,0,0,0,0,0,0,0,0,0.064 g,0.00 mg
256,Fish oil cod liver,100 g,902,100g,570mg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,22.608 g,570.00 mg
